,Address Match,Business Phone,City Match,Connected,Disconnected,High Quality,INF,Last Name Match,Low Quality,Mailable,Medium Quality,NO SIC,No Address,No Date,Ported,Possibly Portable VOIP,Relevant Name,Relevant SIC,State Match,ZipCode Match,predicted,actual
72,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,disconnected,connected
23,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
208,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,disconnected,connected
58,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,disconnected,disconnected
728,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,disconnected,connected
787,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,disconnected,disconnected
721,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,disconnected,connected
333,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,disconnected
124,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,connected,connected
550,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
697,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
683,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
545,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,connected,disconnected
167,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,disconnected,disconnected
313,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,disconnected,disconnected
687,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,connected,connected
438,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,disconnected,connected
157,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,connected,disconnected
852,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
689,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
93,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,connected,disconnected
397,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
539,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,connected,disconnected
520,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,connected,disconnected
191,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
538,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,disconnected,disconnected
684,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
283,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,disconnected,disconnected
711,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,disconnected,connected
763,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,disconnected,disconnected
506,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
330,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,connected,disconnected
419,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,connected,connected
796,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,disconnected
381,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
87,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,connected,connected
196,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,connected,connected
644,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,connected,connected
717,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
410,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,connected,connected
371,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,connected,connected
887,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,connected,connected
140,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,connected,connected
234,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,connected,disconnected
433,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
57,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,disconnected,disconnected
405,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,disconnected,connected
66,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,disconnected,connected
305,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,disconnected,disconnected
226,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
604,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,disconnected,disconnected
601,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,disconnected,disconnected
148,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,disconnected,disconnected
473,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,disconnected,disconnected
262,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,connected,disconnected
300,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,connected,disconnected
172,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,disconnected,disconnected
220,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
813,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,disconnected
513,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,connected,disconnected
738,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,connected,connected
648,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
267,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,disconnected,disconnected
617,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,disconnected,disconnected
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,connected,connected
389,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,connected,connected
769,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,disconnected,disconnected
671,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,disconnected,connected
158,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,disconnected,disconnected
319,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,disconnected,disconnected
828,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,disconnected,connected
716,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
758,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,disconnected,disconnected
471,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,disconnected,disconnected
