RECSEQ	ACCESS_LIC_ID	ACCESS_PNT_ID	PROFILE_ID	STATUS
0000000149	18100020	17100650	12317321	ACTIVE
0000000150	18100021	17100651	12317321	ACTIVE
0000000151	17600049	17307003	12005752	ACTIVE
0000000152	17600050	17800026	8032644	INACTIVE
0000000153	18200020	18300018	12131408	ACTIVE
0000000154	18200021	18300018		ACTIVE
0000000155	18200022	18300015	12131408	ACTIVE
0000000156	18200023	18300016	12131408	ACTIVE
0000000157	18200024	18300017	12131408	ACTIVE
0000000158	18200025	18300017		ACTIVE
0000000159	18200026	17500111		ACTIVE
0000000160	18100022	18300012	12310223	ACTIVE
0000000161	18100023	18200008	8729080	ACTIVE
0000000162	18200027	18300019	12315005	ACTIVE
0000000163	18100024	4200007	4302492	INACTIVE
0000000164	18100025	4200009	4469461	INACTIVE
0000000165	17600051	18300022	12317901	ACTIVE
0000000166	18100026	18200009	12309064	ACTIVE
0000000167	18100027	17102433	11569218	ACTIVE
0000000168	18100028	17102433	3801493	ACTIVE
0000000169	18100029	17300073	11944534	ACTIVE
0000000170	18100030	17300073	8536207	ACTIVE
0000000171	18200028	17300073		INACTIVE
0000000172	18200029	17300073	12667680	ACTIVE
0000000173	18200030	17300073		ACTIVE
0000000174	18200031	17300074	11891236	INACTIVE
0000000175	18200032	17300074		ACTIVE
0000000176	18200033	17300074	6233770	ACTIVE
0000000177	18200034	17300075		INACTIVE
0000000178	18200035	17300075	11914112	ACTIVE
0000000179	18200036	17300075	11915028	ACTIVE
0000000180	18200037	17300075	6233770	ACTIVE
0000000181	18200038	17300074	11914112	ACTIVE
0000000182	18200039	18300023	10169136	ACTIVE
0000000183	18100031	18200010	12321701	ACTIVE
0000000184	18200040	17307003		INACTIVE
0000000185	18200041	17307003		INACTIVE
0000000186	17600052	17800032	1984614	ACTIVE
0000000187	17600053	17800033	2473252	ACTIVE
0000000188	17600054	17800034	3458590	ACTIVE
0000000189	17600055	17800034	3458655	ACTIVE
0000000190	17600056	17800034	3468406	ACTIVE
0000000191	17600057	17800034	3458567	ACTIVE
0000000192	17600058	17800034	12397470	ACTIVE
0000000193	17600059	17800035	6907570	ACTIVE
0000000194	18200042	16200413	12535347	ACTIVE
0000000195	18200043	16200413	12350741	ACTIVE
0000000196	18200044	16200413	12528966	ACTIVE
0000000197	18200045	16200413	12334117	INACTIVE
0000000198	18200046	16200413	12539587	ACTIVE
0000000199	18200047	16200413	12338418	ACTIVE
0000000200	18200048	16200413	12527500	ACTIVE
0000000201	18200049	16200413	12378810	ACTIVE
0000000202	18200050	16200413	12329599	ACTIVE
0000000203	18200051	16200413	12336292	ACTIVE
0000000204	18200052	16200413		INACTIVE
0000000205	18200053	16200413	12534238	ACTIVE
0000000206	18200054	16200413	12536905	ACTIVE
0000000207	18200055	16200413	12529247	INACTIVE
0000000208	18200056	16200413	12365151	ACTIVE
0000000209	18200057	16200413	12526086	ACTIVE
0000000210	18200058	16200413	12323638	ACTIVE
0000000211	17600060	12400209	3692097	INACTIVE
0000000212	17600061	12400210	3692097	INACTIVE
0000000213	17600062	12400211	3692097	INACTIVE
0000000214	17600063	12400212	3692097	INACTIVE
0000000215	17600064	12400209	3692097	ACTIVE
0000000216	17600065	12400210	3692097	ACTIVE
0000000217	17600066	12400211	3692097	ACTIVE
0000000218	17600067	12400212	3692097	ACTIVE
0000000219	17600068	17307003		INACTIVE
0000000220	18100032	18200012	1946833	ACTIVE
0000000221	18200059	18300027	12336370	ACTIVE
0000000222	18200060	18300028	12336370	ACTIVE
0000000223	18200061	18300029	11980788	INACTIVE
0000000224	18200062	17100650		INACTIVE
0000000225	18200063	17100651		INACTIVE
0000000226	18100033	18200015	12341548	ACTIVE
0000000227	18100034	18200016	12342528	ACTIVE
0000000228	18100035	18200020	12346597	ACTIVE
0000000229	18100036	17300073	11947533	ACTIVE
0000000230	17600069	16300111	6920629	ACTIVE
0000000231	18200064	17313888	12464736	ACTIVE
0000000232	18100037	18200022	12348439	ACTIVE
0000000233	18100038	18200023	12348572	ACTIVE
0000000234	17600070	17800037	4257616	ACTIVE
0000000235	18200065	18300033	12357848	ACTIVE
