,Zipcode,Zipcode Area
583,14020,0.363 sq mi
584,59405,405.817 sq mi
585,16507,0.949 sq mi
586,19428,7.6 sq mi
587,31533,63.827 sq mi
588,59802,0.665 sq mi
589,37411,8.671 sq mi
590,48670,0 sq mi
591,54311,64.101 sq mi
592,64108,3.632 sq mi
593,54303,10.935 sq mi
594,54301,0.722 sq mi
595,95138,26.07 sq mi
596,49057,51.484 sq mi
597,80909,0.002 sq mi
598,96793,68.689 sq mi
599,34952,23.251 sq mi
600,89128,5.998 sq mi
601,87102,6.497 sq mi
602,79920,0 sq mi
603,98104,0.098 sq mi
604,77380,12.429 sq mi
605,80246,1.726 sq mi
606,33155,0.558 sq mi
607,80204,5.563 sq mi
608,55435,2.953 sq mi
609,60091,5.35 sq mi
610,52761,177.023 sq mi
611,60504,8.878 sq mi
612,61614,0.091 sq mi
613,30076,15.57 sq mi
614,46617,2.604 sq mi
615,27705,43.878 sq mi
616,61832,1.145 sq mi
617,54601,1.268 sq mi
618,37211,0 sq mi
619,84098,0.014 sq mi
620,31634,271.834 sq mi
621,30024,42.55 sq mi
622,60805,3.407 sq mi
623,44130,0.022 sq mi
624,94115,1.116 sq mi
625,92083,5.571 sq mi
626,10041,0 sq mi
627,77004,5.776 sq mi
628,19460,35.355 sq mi
629,10003,0 sq mi
630,33016,4.378 sq mi
631,60622,2.453 sq mi
632,47303,0.322 sq mi
633,60901,95.746 sq mi
634,60089,9.752 sq mi
635,60563,15.162 sq mi
636,43952,25.835 sq mi
637,33624,8.974 sq mi
638,97526,0.68 sq mi
639,90024,0 sq mi
640,33603,4.136 sq mi
641,33602,2.549 sq mi
642,33614,9.777 sq mi
643,84119,0.053 sq mi
644,48755,50.474 sq mi
645,97401,0.023 sq mi
646,87106,10.565 sq mi
647,39202,0.344 sq mi
648,53705,0.025 sq mi
649,59105,103.973 sq mi
650,24382,0.453 sq mi
651,68198,0 sq mi
652,28144,0.43 sq mi
653,30165,166.162 sq mi
654,31408,24.396 sq mi
655,31901,0.288 sq mi
656,30281,70.321 sq mi
657,30106,12.395 sq mi
658,31510,18.377 sq mi
659,31201,10.642 sq mi
660,30904,10.361 sq mi
661,30114,107.891 sq mi
662,30517,27.946 sq mi
663,30084,15.259 sq mi
664,53226,0 sq mi
665,75216,14.624 sq mi
666,30236,32.197 sq mi
667,30340,0.016 sq mi
668,30303,0 sq mi
669,30058,30.776 sq mi
670,30214,52.721 sq mi
671,31062,0 sq mi
672,30349,0.3 sq mi
673,30034,16.951 sq mi
