,0
1125,98109
1126,50316
1127,53578
1128,48854
1129,97219
1130,78236
1131,80230
1132,33901
1133,76028
1134,37228
1135,96815
1136,54701
1137,16509
1138,84121
1139,48188
1140,60123
1141,36617
1142,38801
1143,10024
1144,19124
1145,73104
1146,10075
1147,33143
1148,76544
1149,20889
1150,30824
1151,94612
1152,18702
1153,75503
1154,60914
1155,61637
1156,37920
1157,37745
1158,32025
1159,83814
1160,19301
1161,80222
1162,19718
1163,27609
1164,25304
1165,85224
1166,92505
1167,30341
1168,46601
1169,37212
1170,36083
1171,36604
1172,38732
1173,39401
1174,46256
1175,85032
1176,30907
1177,66211
1178,66606
1179,29169
1180,28722
1181,85364
1182,85029
1183,33760
1184,82901
1185,85258
1186,91436
1187,81003
1188,81501
1189,60194
1190,62781
1191,62701
1192,32204
1193,32803
1194,24153
1195,37217
1196,34102
1197,63118
1198,60615
1199,14226
1200,19046
1201,44022
1202,80439
1203,20166
1204,44622
1205,30253
1206,14263
1207,23226
1208,23230
1209,52402
1210,23235
1211,36608
1212,46804
1213,70115
1214,20901
1215,80111
1216,77339
1217,23462
1218,22960
1219,89109
1220,36305
1221,16335
1222,45208
1223,79430
1224,22902
1225,86401
1226,93309
1227,61820
1228,61822
1229,61874
1230,62034
1231,35209
1232,23602
1233,45435
1234,23704
1235,23510
1236,23456
1237,44109
1238,75231
1239,92604
1240,72401
1241,20817
1242,93901
1243,92354
1244,92373
1245,75034
1246,90242
1247,80301
1248,28655
1249,21701
1250,10001
1251,23233
1252,80033
1253,40241
1254,79106
1255,23606
1256,33905
1257,91010
1258,46563
1259,60625
1260,27704
1261,45211
1262,46219
1263,94305
1264,83642
1265,33607
1266,53202
1267,22205
1268,44308
1269,95661
1270,83605
1271,61107
1272,94568
1273,23805
1274,44307
1275,66210
1276,50314
1277,96826
1278,64131
1279,52242
1280,37921
1281,70805
1282,13148
1283,70121
1284,90404
1285,95834
1286,21043
1287,33146
1288,60141
1289,97030
1290,60061
1291,55404
1292,17402
1293,46580
1294,66215
1295,48062
1296,17821
1297,98195
1298,63044
1299,84604
1300,48661
1301,97477
1302,89521
1303,21157
1304,85284
1305,51106
1306,68114
1307,15009
1308,92374
1309,10710
1310,91941
1311,91360
1312,14127
1313,14625
1314,13202
1315,55454
1316,98405
1317,44094
1318,19133
1319,80228
1320,43213
1321,83712
1322,56303
1323,14221
1324,28562
1325,70130
1326,77015
1327,32757
1328,34601
1329,37055
1330,16365
1331,44124
1332,28625
1333,60126
1334,90025
1335,98003
1336,44118
1337,96819
1338,16602
1339,80021
1340,63090
1341,80112
1342,87109
1343,98057
1344,66048
1345,44121
1346,87111
1347,63385
1348,92262
1349,20832
1350,92025
1351,38105
1352,33621
1353,45245
1354,21228
1355,97216
1356,15370
1357,27520
1358,43130
1359,16148
1360,27157
1361,44077
1362,95815
1363,94589
1364,22203
1365,45220
1366,19380
1367,44131
1368,14224
1369,34695
1370,73071
1371,73703
1372,20152
1373,21784
1374,60077
1375,98101
1376,27599
1377,44119
1378,15146
1379,93291
1380,20852
1381,76022
1382,19610
1383,32256
1384,16201
1385,37167
1386,98201
1387,68506
1388,82930
1389,85014
1390,75028
1391,59715
1392,85004
1393,73013
1394,77401
1395,79701
1396,78634
1397,63144
1398,29403
1399,23502
1400,99336
1401,94158
1402,15227
1403,53095
1404,80401
1405,77840
1406,94538
1407,92801
1408,27707
1409,54935
1410,94303
1411,98632
1412,33873
1413,44024
1414,28374
1415,91304
1416,16827
1417,77327
1418,87124
1419,32773
1420,97132
1421,14120
1422,10453
1423,46901
1424,60148
1425,94559
1426,85202
1427,25301
1428,18018
1429,93721
1430,98065
1431,33125
1432,11220
1433,97213
1434,15317
1435,20892
1436,47715
1437,22030
1438,85054
1439,29505
1440,26505
1441,73112
1442,29501
1443,76508
1444,21804
1445,89169
1446,38501
1447,60101
1448,77450
1449,44310
1450,85745
