48184 is 7.03 sq mi
49519 is 0.159 sq mi
79911 is 6.243 sq mi
21287 is 0 sq mi
97330 is 77.104 sq mi
48044 is 0.075 sq mi
44904 is 0.789 sq mi
43220 is 6.807 sq mi
33324 is 9.209 sq mi
23221 is 0.654 sq mi
49037 is 24.794 sq mi
48503 is 8.203 sq mi
54143 is 6.151 sq mi
80104 is 77.582 sq mi
48043 is 4.099 sq mi
48708 is 27.864 sq mi
48060 is 3.104 sq mi
48348 is 0.924 sq mi
33612 is 10.217 sq mi
92311 is 0.009 sq mi
11756 is 0.025 sq mi
44202 is 30.295 sq mi
44484 is 0.009 sq mi
48170 is 34.15 sq mi
48423 is 65.592 sq mi
48854 is 111.555 sq mi
87114 is 21.297 sq mi
63017 is 0.267 sq mi
29672 is 38.778 sq mi
46825 is 0.023 sq mi
49546 is 0.62 sq mi
19446 is 22.553 sq mi
48220 is 0 sq mi
48131 is 0.438 sq mi
10591 is 0.231 sq mi
44870 is 34.114 sq mi
02420 is 6.584 sq mi
89052 is 51.92 sq mi
33618 is 8.663 sq mi
89014 is 0 sq mi
44126 is 0 sq mi
49841 is 191.851 sq mi
48125 is 4.05 sq mi
48855 is 90.942 sq mi
43016 is 18.09 sq mi
48824 is 0 sq mi
49781 is 78.666 sq mi
48317 is 12.109 sq mi
77584 is 32.093 sq mi
60130 is 2.768 sq mi
61615 is 0.014 sq mi
48505 is 12.558 sq mi
48507 is 20.83 sq mi
33025 is 10.817 sq mi
94506 is 18.79 sq mi
60067 is 13.724 sq mi
60077 is 4.026 sq mi
43209 is 6.233 sq mi
43512 is 218.724 sq mi
44663 is 93.25 sq mi
20879 is 7.666 sq mi
21131 is 22.226 sq mi
63039 is 3.828 sq mi
65203 is 1.834 sq mi
37604 is 0 sq mi
54847 is 164.782 sq mi
70122 is 0.989 sq mi
70810 is 27.071 sq mi
48884 is 60.851 sq mi
48189 is 2.234 sq mi
47630 is 1.482 sq mi
48138 is 1.525 sq mi
48375 is 0.031 sq mi
49505 is 0.223 sq mi
22902 is 62.781 sq mi
